id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Ambon_2023-11-21T00:00:00,Ambon,2023-11-21 00:00:00,3,Berawan,80,26.0,79.0,45,147,5.8,1011,2023-11-21
Ambon_2023-11-21T06:00:00,Ambon,2023-11-21 06:00:00,1,Cerah Berawan,70,32.0,90.0,43,147,13.0,1010,2023-11-21 06:00:00
Ambon_2023-11-21T12:00:00,Ambon,2023-11-21 12:00:00,4,Berawan Tebal,90,27.0,81.0,44,147,9.3,1010,2023-11-21 12:00:00
Ambon_2023-11-21T18:00:00,Ambon,2023-11-21 18:00:00,1,Cerah Berawan,95,23.0,73.0,45,147,5.5,1008,2023-11-21 18:00:00
Badung_2023-11-21T00:00:00,Badung,2023-11-21 00:00:00,1,Cerah Berawan,75,25.0,77.0,63,180,5.4,1011,2023-11-21
Badung_2023-11-21T06:00:00,Badung,2023-11-21 06:00:00,3,Berawan,60,32.0,90.0,37,180,5.6,1011,2023-11-21 06:00:00
Badung_2023-11-21T12:00:00,Badung,2023-11-21 12:00:00,3,Berawan,70,28.0,82.0,53,180,14.1,1010,2023-11-21 12:00:00
Badung_2023-11-21T18:00:00,Badung,2023-11-21 18:00:00,3,Berawan,90,26.0,79.0,61,180,10.1,1009,2023-11-21 18:00:00
Balikpapan_2023-11-21T00:00:00,Balikpapan,2023-11-21 00:00:00,3,Berawan,100,25.0,77.0,31,190,9.8,1009,2023-11-21
Balikpapan_2023-11-21T06:00:00,Balikpapan,2023-11-21 06:00:00,3,Berawan,80,28.0,82.0,28,190,7.4,1009,2023-11-21 06:00:00
Balikpapan_2023-11-21T12:00:00,Balikpapan,2023-11-21 12:00:00,1,Cerah Berawan,95,25.0,77.0,29,203,9.3,1009,2023-11-21 12:00:00
Balikpapan_2023-11-21T18:00:00,Balikpapan,2023-11-21 18:00:00,45,Berkabut,100,24.0,75.0,24,184,0.0,1006,2023-11-21 18:00:00
Banda Aceh_2023-11-21T00:00:00,Banda Aceh,2023-11-21 00:00:00,60,Hujan Ringan,90,25.0,77.0,51,63,3.5,1010,2023-11-21
Banda Aceh_2023-11-21T06:00:00,Banda Aceh,2023-11-21 06:00:00,60,Hujan Ringan,75,30.0,86.0,52,63,2.8,1010,2023-11-21 06:00:00
Banda Aceh_2023-11-21T12:00:00,Banda Aceh,2023-11-21 12:00:00,3,Berawan,90,27.0,81.0,54,63,12.6,1012,2023-11-21 12:00:00
Banda Aceh_2023-11-21T18:00:00,Banda Aceh,2023-11-21 18:00:00,1,Cerah Berawan,95,24.0,75.0,54,63,10.0,1009,2023-11-21 18:00:00
Bandung_2023-11-21T00:00:00,Bandung,2023-11-21 00:00:00,1,Cerah Berawan,80,22.0,72.0,144,354,5.1,1012,2023-11-21
Bandung_2023-11-21T06:00:00,Bandung,2023-11-21 06:00:00,60,Hujan Ringan,55,31.0,88.0,85,354,5.4,1012,2023-11-21 06:00:00
Bandung_2023-11-21T12:00:00,Bandung,2023-11-21 12:00:00,3,Berawan,80,26.0,79.0,54,354,6.2,1011,2023-11-21 12:00:00
Bandung_2023-11-21T18:00:00,Bandung,2023-11-21 18:00:00,3,Berawan,90,24.0,75.0,149,354,6.4,1009,2023-11-21 18:00:00
Banggai_2023-11-21T00:00:00,Banggai,2023-11-21 00:00:00,1,Cerah Berawan,75,27.0,81.0,33,205,6.7,1010,2023-11-21
Banggai_2023-11-21T06:00:00,Banggai,2023-11-21 06:00:00,60,Hujan Ringan,85,26.0,79.0,30,205,5.3,1011,2023-11-21 06:00:00
Banggai_2023-11-21T12:00:00,Banggai,2023-11-21 12:00:00,60,Hujan Ringan,90,23.0,73.0,31,191,11.3,1009,2023-11-21 12:00:00
