id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Ambon_2023-11-20T00:00:00,Ambon,2023-11-20 00:00:00,3,Berawan,80,29.0,84.0,47,174,7.4,1010,2023-11-20
Ambon_2023-11-20T06:00:00,Ambon,2023-11-20 06:00:00,3,Berawan,65,32.0,90.0,52,174,11.1,1011,2023-11-20 06:00:00
Ambon_2023-11-20T12:00:00,Ambon,2023-11-20 12:00:00,1,Cerah Berawan,80,28.0,82.0,54,174,18.4,1009,2023-11-20 12:00:00
Ambon_2023-11-20T18:00:00,Ambon,2023-11-20 18:00:00,1,Cerah Berawan,95,24.0,75.0,51,174,12.8,1010,2023-11-20 18:00:00
Badung_2023-11-20T00:00:00,Badung,2023-11-20 00:00:00,3,Berawan,85,28.0,82.0,69,184,3.7,1012,2023-11-20
Badung_2023-11-20T06:00:00,Badung,2023-11-20 06:00:00,3,Berawan,65,32.0,90.0,69,184,5.4,1012,2023-11-20 06:00:00
Badung_2023-11-20T12:00:00,Badung,2023-11-20 12:00:00,1,Cerah Berawan,80,28.0,82.0,41,184,15.4,1011,2023-11-20 12:00:00
Badung_2023-11-20T18:00:00,Badung,2023-11-20 18:00:00,1,Cerah Berawan,80,26.0,79.0,55,184,9.6,1011,2023-11-20 18:00:00
Balikpapan_2023-11-20T00:00:00,Balikpapan,2023-11-20 00:00:00,3,Berawan,100,26.0,79.0,44,217,9.3,1010,2023-11-20
Balikpapan_2023-11-20T06:00:00,Balikpapan,2023-11-20 06:00:00,60,Hujan Ringan,80,29.0,84.0,31,217,5.5,1009,2023-11-20 06:00:00
Balikpapan_2023-11-20T12:00:00,Balikpapan,2023-11-20 12:00:00,60,Hujan Ringan,90,26.0,79.0,29,174,7.4,1010,2023-11-20 12:00:00
Balikpapan_2023-11-20T18:00:00,Balikpapan,2023-11-20 18:00:00,3,Berawan,100,25.0,77.0,26,176,9.4,1008,2023-11-20 18:00:00
Banda Aceh_2023-11-20T00:00:00,Banda Aceh,2023-11-20 00:00:00,1,Cerah Berawan,90,23.0,73.0,29,174,6.6,1012,2023-11-20
Banda Aceh_2023-11-20T06:00:00,Banda Aceh,2023-11-20 06:00:00,1,Cerah Berawan,65,31.0,88.0,31,174,15.7,1010,2023-11-20 06:00:00
Banda Aceh_2023-11-20T12:00:00,Banda Aceh,2023-11-20 12:00:00,3,Berawan,90,25.0,77.0,33,174,15.4,1012,2023-11-20 12:00:00
Banda Aceh_2023-11-20T18:00:00,Banda Aceh,2023-11-20 18:00:00,60,Hujan Ringan,95,23.0,73.0,33,174,4.7,1009,2023-11-20 18:00:00
Bandung_2023-11-20T00:00:00,Bandung,2023-11-20 00:00:00,1,Cerah Berawan,85,25.0,77.0,127,352,1.5,1014,2023-11-20
Bandung_2023-11-20T06:00:00,Bandung,2023-11-20 06:00:00,60,Hujan Ringan,55,31.0,88.0,81,352,4.9,1013,2023-11-20 06:00:00
Bandung_2023-11-20T12:00:00,Bandung,2023-11-20 12:00:00,1,Cerah Berawan,80,25.0,77.0,67,352,6.9,1012,2023-11-20 12:00:00
Bandung_2023-11-20T18:00:00,Bandung,2023-11-20 18:00:00,1,Cerah Berawan,90,22.0,72.0,100,352,3.7,1011,2023-11-20 18:00:00
Banggai_2023-11-20T00:00:00,Banggai,2023-11-20 00:00:00,3,Berawan,75,26.0,79.0,26,207,11.3,1010,2023-11-20
Banggai_2023-11-20T06:00:00,Banggai,2023-11-20 06:00:00,3,Berawan,65,33.0,91.0,30,207,11.4,1011,2023-11-20 06:00:00
Banggai_2023-11-20T12:00:00,Banggai,2023-11-20 12:00:00,1,Cerah Berawan,85,24.0,75.0,30,198,12.9,1010,2023-11-20 12:00:00
Banggai_2023-11-20T18:00:00,Banggai,2023-11-20 18:00:00,1,Cerah Berawan,80,23.0,73.0,33,200,10.7,1009,2023-11-20 18:00:00
Bangkalan_2023-11-20T00:00:00,Bangkalan,2023-11-20 00:00:00,0,,80,28.0,82.0,75,39,9.9,1010,2023-11-20
Bangkalan_2023-11-20T06:00:00,Bangkalan,2023-11-20 06:00:00,0,,60,33.0,91.0,72,39,7.8,1011,2023-11-20 06:00:00
Bangkalan_2023-11-20T12:00:00,Bangkalan,2023-11-20 12:00:00,1,Cerah Berawan,75,29.0,84.0,82,33,6.3,1010,2023-11-20 12:00:00
Bangkalan_2023-11-20T18:00:00,Bangkalan,2023-11-20 18:00:00,1,Cerah Berawan,85,26.0,79.0,70,36,14.7,1008,2023-11-20 18:00:00
Bangli_2023-11-20T00:00:00,Bangli,2023-11-20 00:00:00,3,Berawan,90,27.0,81.0,40,168,0.9,1012,2023-11-20
Bangli_2023-11-20T06:00:00,Bangli,2023-11-20 06:00:00,3,Berawan,70,31.0,88.0,37,168,3.5,1013,2023-11-20 06:00:00
Bangli_2023-11-20T12:00:00,Bangli,2023-11-20 12:00:00,1,Cerah Berawan,85,27.0,81.0,33,156,12.5,1012,2023-11-20 12:00:00
Bangli_2023-11-20T18:00:00,Bangli,2023-11-20 18:00:00,1,Cerah Berawan,85,25.0,77.0,34,156,6.4,1011,2023-11-20 18:00:00
Banjar_2023-11-20T00:00:00,Banjar,2023-11-20 00:00:00,1,Cerah Berawan,85,25.0,77.0,70,199,1.8,1015,2023-11-20
Banjar_2023-11-20T06:00:00,Banjar,2023-11-20 06:00:00,60,Hujan Ringan,55,32.0,90.0,59,199,4.2,1014,2023-11-20 06:00:00
Banjar_2023-11-20T12:00:00,Banjar,2023-11-20 12:00:00,3,Berawan,85,26.0,79.0,59,203,5.1,1013,2023-11-20 12:00:00
Banjar_2023-11-20T18:00:00,Banjar,2023-11-20 18:00:00,1,Cerah Berawan,95,24.0,75.0,62,204,3.2,1012,2023-11-20 18:00:00
Banjarmasin_2023-11-20T00:00:00,Banjarmasin,2023-11-20 00:00:00,3,Berawan,90,27.0,81.0,53,201,5.7,1010,2023-11-20
Banjarmasin_2023-11-20T06:00:00,Banjarmasin,2023-11-20 06:00:00,95,Hujan Petir,60,33.0,91.0,53,201,3.0,1010,2023-11-20 06:00:00
Banjarmasin_2023-11-20T12:00:00,Banjarmasin,2023-11-20 12:00:00,3,Berawan,85,26.0,79.0,42,217,8.4,1009,2023-11-20 12:00:00
Banjarmasin_2023-11-20T18:00:00,Banjarmasin,2023-11-20 18:00:00,1,Cerah Berawan,95,24.0,75.0,37,214,2.6,1008,2023-11-20 18:00:00
Banjarnegara_2023-11-20T00:00:00,Banjarnegara,2023-11-20 00:00:00,3,Berawan,85,26.0,79.0,62,173,1.9,1014,2023-11-20
Banjarnegara_2023-11-20T06:00:00,Banjarnegara,2023-11-20 06:00:00,3,Berawan,65,30.0,86.0,56,173,2.7,1013,2023-11-20 06:00:00
Banjarnegara_2023-11-20T12:00:00,Banjarnegara,2023-11-20 12:00:00,4,Berawan Tebal,80,27.0,81.0,49,174,8.5,1012,2023-11-20 12:00:00
Banjarnegara_2023-11-20T18:00:00,Banjarnegara,2023-11-20 18:00:00,3,Berawan,90,22.0,72.0,44,173,8.1,1011,2023-11-20 18:00:00
Bantaeng_2023-11-20T00:00:00,Bantaeng,2023-11-20 00:00:00,1,Cerah Berawan,80,27.0,81.0,60,134,7.7,1011,2023-11-20
Bantaeng_2023-11-20T06:00:00,Bantaeng,2023-11-20 06:00:00,60,Hujan Ringan,65,34.0,93.0,55,134,9.0,1012,2023-11-20 06:00:00
Bantaeng_2023-11-20T12:00:00,Bantaeng,2023-11-20 12:00:00,3,Berawan,75,29.0,84.0,54,113,20.9,1010,2023-11-20 12:00:00
Bantaeng_2023-11-20T18:00:00,Bantaeng,2023-11-20 18:00:00,3,Berawan,85,25.0,77.0,52,113,14.6,1010,2023-11-20 18:00:00
Bantul_2023-11-20T00:00:00,Bantul,2023-11-20 00:00:00,3,Berawan,80,27.0,81.0,54,182,2.7,1012,2023-11-20
Bantul_2023-11-20T06:00:00,Bantul,2023-11-20 06:00:00,1,Cerah Berawan,65,32.0,90.0,53,182,1.4,1012,2023-11-20 06:00:00
Bantul_2023-11-20T12:00:00,Bantul,2023-11-20 12:00:00,1,Cerah Berawan,85,27.0,81.0,45,164,16.3,1011,2023-11-20 12:00:00
Bantul_2023-11-20T18:00:00,Bantul,2023-11-20 18:00:00,3,Berawan,95,25.0,77.0,42,166,16.1,1010,2023-11-20 18:00:00
Banyumas_2023-11-20T00:00:00,Banyumas,2023-11-20 00:00:00,3,Berawan,85,26.0,79.0,60,177,2.4,1013,2023-11-20
Banyumas_2023-11-20T06:00:00,Banyumas,2023-11-20 06:00:00,3,Berawan,65,31.0,88.0,56,177,1.9,1012,2023-11-20 06:00:00
Banyumas_2023-11-20T12:00:00,Banyumas,2023-11-20 12:00:00,4,Berawan Tebal,80,27.0,81.0,52,162,12.2,1011,2023-11-20 12:00:00
Banyumas_2023-11-20T18:00:00,Banyumas,2023-11-20 18:00:00,3,Berawan,90,23.0,73.0,43,161,10.8,1010,2023-11-20 18:00:00
Banyuwangi_2023-11-20T00:00:00,Banyuwangi,2023-11-20 00:00:00,1,Cerah Berawan,80,27.0,81.0,44,155,5.4,1012,2023-11-20
Banyuwangi_2023-11-20T06:00:00,Banyuwangi,2023-11-20 06:00:00,0,,60,31.0,88.0,37,155,6.2,1013,2023-11-20 06:00:00
Banyuwangi_2023-11-20T12:00:00,Banyuwangi,2023-11-20 12:00:00,1,Cerah Berawan,80,27.0,81.0,33,155,12.9,1012,2023-11-20 12:00:00
Banyuwangi_2023-11-20T18:00:00,Banyuwangi,2023-11-20 18:00:00,1,Cerah Berawan,85,25.0,77.0,33,154,8.6,1011,2023-11-20 18:00:00
Barru_2023-11-20T00:00:00,Barru,2023-11-20 00:00:00,1,Cerah Berawan,80,26.0,79.0,45,216,5.5,1010,2023-11-20
Barru_2023-11-20T06:00:00,Barru,2023-11-20 06:00:00,60,Hujan Ringan,65,33.0,91.0,47,216,6.0,1011,2023-11-20 06:00:00
Barru_2023-11-20T12:00:00,Barru,2023-11-20 12:00:00,3,Berawan,75,28.0,82.0,52,221,9.3,1009,2023-11-20 12:00:00
Barru_2023-11-20T18:00:00,Barru,2023-11-20 18:00:00,3,Berawan,85,24.0,75.0,52,222,7.0,1009,2023-11-20 18:00:00
Batam_2023-11-20T00:00:00,Batam,2023-11-20 00:00:00,1,Cerah Berawan,90,25.0,77.0,52,20,17.5,1011,2023-11-20
Batam_2023-11-20T06:00:00,Batam,2023-11-20 06:00:00,61,Hujan Sedang,65,32.0,90.0,37,20,5.5,1011,2023-11-20 06:00:00
Batam_2023-11-20T12:00:00,Batam,2023-11-20 12:00:00,95,Hujan Petir,90,26.0,79.0,58,20,13.0,1012,2023-11-20 12:00:00
Batam_2023-11-20T18:00:00,Batam,2023-11-20 18:00:00,95,Hujan Petir,95,24.0,75.0,65,20,6.9,1008,2023-11-20 18:00:00
Batang_2023-11-20T00:00:00,Batang,2023-11-20 00:00:00,1,Cerah Berawan,75,28.0,82.0,74,156,12.5,1011,2023-11-20
Batang_2023-11-20T06:00:00,Batang,2023-11-20 06:00:00,3,Berawan,55,34.0,93.0,69,156,12.9,1011,2023-11-20 06:00:00
Batang_2023-11-20T12:00:00,Batang,2023-11-20 12:00:00,3,Berawan,75,28.0,82.0,74,12,13.0,1010,2023-11-20 12:00:00
Batang_2023-11-20T18:00:00,Batang,2023-11-20 18:00:00,3,Berawan,85,25.0,77.0,81,10,10.9,1009,2023-11-20 18:00:00
Batu_2023-11-20T00:00:00,Batu,2023-11-20 00:00:00,1,Cerah Berawan,90,20.0,68.0,52,159,3.2,1014,2023-11-20
Batu_2023-11-20T06:00:00,Batu,2023-11-20 06:00:00,3,Berawan,70,27.0,81.0,46,159,3.0,1013,2023-11-20 06:00:00
Batu_2023-11-20T12:00:00,Batu,2023-11-20 12:00:00,1,Cerah Berawan,90,18.0,64.0,48,143,1.7,1012,2023-11-20 12:00:00
