id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Ambon_2023-11-22T00:00:00,Ambon,2023-11-22 00:00:00,3,Berawan,80,27.0,81.0,40,145,13.2,1009,2023-11-22
Ambon_2023-11-22T06:00:00,Ambon,2023-11-22 06:00:00,95,Hujan Petir,60,33.0,91.0,40,145,10.7,1010,2023-11-22 06:00:00
Ambon_2023-11-22T12:00:00,Ambon,2023-11-22 12:00:00,60,Hujan Ringan,80,27.0,81.0,39,145,10.9,1009,2023-11-22 12:00:00
Ambon_2023-11-22T18:00:00,Ambon,2023-11-22 18:00:00,3,Berawan,90,23.0,73.0,40,145,7.4,1007,2023-11-22 18:00:00
Badung_2023-11-22T00:00:00,Badung,2023-11-22 00:00:00,1,Cerah Berawan,75,27.0,81.0,77,174,5.8,1011,2023-11-22
Badung_2023-11-22T06:00:00,Badung,2023-11-22 06:00:00,3,Berawan,60,33.0,91.0,82,174,5.1,1010,2023-11-22 06:00:00
Badung_2023-11-22T12:00:00,Badung,2023-11-22 12:00:00,1,Cerah Berawan,75,29.0,84.0,65,174,15.4,1009,2023-11-22 12:00:00
Badung_2023-11-22T18:00:00,Badung,2023-11-22 18:00:00,1,Cerah Berawan,90,26.0,79.0,78,174,10.8,1009,2023-11-22 18:00:00
Balikpapan_2023-11-22T00:00:00,Balikpapan,2023-11-22 00:00:00,1,Cerah Berawan,90,28.0,82.0,29,196,11.2,1008,2023-11-22
Balikpapan_2023-11-22T06:00:00,Balikpapan,2023-11-22 06:00:00,1,Cerah Berawan,80,29.0,84.0,29,196,5.9,1008,2023-11-22 06:00:00
Balikpapan_2023-11-22T12:00:00,Balikpapan,2023-11-22 12:00:00,60,Hujan Ringan,90,26.0,79.0,27,167,8.1,1008,2023-11-22 12:00:00
Balikpapan_2023-11-22T18:00:00,Balikpapan,2023-11-22 18:00:00,3,Berawan,100,24.0,75.0,28,166,13.0,1005,2023-11-22 18:00:00
Banda Aceh_2023-11-22T00:00:00,Banda Aceh,2023-11-22 00:00:00,1,Cerah Berawan,95,24.0,75.0,42,106,10.5,1012,2023-11-22
Banda Aceh_2023-11-22T06:00:00,Banda Aceh,2023-11-22 06:00:00,95,Hujan Petir,65,30.0,86.0,38,106,11.1,1008,2023-11-22 06:00:00
Banda Aceh_2023-11-22T12:00:00,Banda Aceh,2023-11-22 12:00:00,60,Hujan Ringan,85,25.0,77.0,36,106,5.8,1011,2023-11-22 12:00:00
Banda Aceh_2023-11-22T18:00:00,Banda Aceh,2023-11-22 18:00:00,60,Hujan Ringan,95,24.0,75.0,35,106,6.6,1008,2023-11-22 18:00:00
Bandung_2023-11-22T00:00:00,Bandung,2023-11-22 00:00:00,1,Cerah Berawan,80,22.0,72.0,152,22,1.6,1012,2023-11-22
Bandung_2023-11-22T06:00:00,Bandung,2023-11-22 06:00:00,61,Hujan Sedang,70,31.0,88.0,113,22,1.6,1012,2023-11-22 06:00:00
Bandung_2023-11-22T12:00:00,Bandung,2023-11-22 12:00:00,1,Cerah Berawan,90,23.0,73.0,78,22,3.2,1012,2023-11-22 12:00:00
Bandung_2023-11-22T18:00:00,Bandung,2023-11-22 18:00:00,3,Berawan,95,19.0,66.0,131,22,3.2,1012,2023-11-22 18:00:00
Banggai_2023-11-22T00:00:00,Banggai,2023-11-22 00:00:00,1,Cerah Berawan,80,26.0,79.0,20,183,4.0,1009,2023-11-22
Banggai_2023-11-22T06:00:00,Banggai,2023-11-22 06:00:00,3,Berawan,85,33.0,91.0,30,183,5.8,1010,2023-11-22 06:00:00
Banggai_2023-11-22T12:00:00,Banggai,2023-11-22 12:00:00,1,Cerah Berawan,90,23.0,73.0,33,187,11.6,1009,2023-11-22 12:00:00
Banggai_2023-11-22T18:00:00,Banggai,2023-11-22 18:00:00,1,Cerah Berawan,90,23.0,73.0,27,188,7.9,1008,2023-11-22 18:00:00
Bangkalan_2023-11-22T00:00:00,Bangkalan,2023-11-22 00:00:00,0,,85,28.0,82.0,66,37,9.8,1010,2023-11-22
Bangkalan_2023-11-22T06:00:00,Bangkalan,2023-11-22 06:00:00,1,Cerah Berawan,60,33.0,91.0,67,37,6.2,1008,2023-11-22 06:00:00
Bangkalan_2023-11-22T12:00:00,Bangkalan,2023-11-22 12:00:00,0,,75,29.0,84.0,80,25,4.7,1008,2023-11-22 12:00:00
Bangkalan_2023-11-22T18:00:00,Bangkalan,2023-11-22 18:00:00,1,Cerah Berawan,90,27.0,81.0,65,28,14.0,1006,2023-11-22 18:00:00
Bangli_2023-11-22T00:00:00,Bangli,2023-11-22 00:00:00,1,Cerah Berawan,80,26.0,79.0,42,143,1.6,1012,2023-11-22
Bangli_2023-11-22T06:00:00,Bangli,2023-11-22 06:00:00,1,Cerah Berawan,65,32.0,90.0,43,143,1.9,1011,2023-11-22 06:00:00
Bangli_2023-11-22T12:00:00,Bangli,2023-11-22 12:00:00,1,Cerah Berawan,80,28.0,82.0,39,148,11.9,1009,2023-11-22 12:00:00
Bangli_2023-11-22T18:00:00,Bangli,2023-11-22 18:00:00,1,Cerah Berawan,95,27.0,81.0,38,149,6.0,1009,2023-11-22 18:00:00
Banjar_2023-11-22T00:00:00,Banjar,2023-11-22 00:00:00,1,Cerah Berawan,85,25.0,77.0,39,131,0.7,1013,2023-11-22
Banjar_2023-11-22T06:00:00,Banjar,2023-11-22 06:00:00,60,Hujan Ringan,65,33.0,91.0,58,131,3.7,1012,2023-11-22 06:00:00
Banjar_2023-11-22T12:00:00,Banjar,2023-11-22 12:00:00,3,Berawan,80,28.0,82.0,61,206,4.3,1011,2023-11-22 12:00:00
Banjar_2023-11-22T18:00:00,Banjar,2023-11-22 18:00:00,1,Cerah Berawan,95,24.0,75.0,61,197,3.2,1010,2023-11-22 18:00:00
Banjarmasin_2023-11-22T00:00:00,Banjarmasin,2023-11-22 00:00:00,1,Cerah Berawan,80,29.0,84.0,53,160,4.6,1008,2023-11-22
Banjarmasin_2023-11-22T06:00:00,Banjarmasin,2023-11-22 06:00:00,60,Hujan Ringan,60,34.0,93.0,53,160,4.1,1008,2023-11-22 06:00:00
Banjarmasin_2023-11-22T12:00:00,Banjarmasin,2023-11-22 12:00:00,3,Berawan,80,28.0,82.0,37,219,2.7,1007,2023-11-22 12:00:00
Banjarmasin_2023-11-22T18:00:00,Banjarmasin,2023-11-22 18:00:00,3,Berawan,95,24.0,75.0,44,201,3.4,1005,2023-11-22 18:00:00
Banjarnegara_2023-11-22T00:00:00,Banjarnegara,2023-11-22 00:00:00,3,Berawan,80,26.0,79.0,55,176,2.5,1013,2023-11-22
Banjarnegara_2023-11-22T06:00:00,Banjarnegara,2023-11-22 06:00:00,4,Berawan Tebal,60,31.0,88.0,64,176,3.6,1011,2023-11-22 06:00:00
Banjarnegara_2023-11-22T12:00:00,Banjarnegara,2023-11-22 12:00:00,4,Berawan Tebal,85,26.0,79.0,59,184,7.7,1010,2023-11-22 12:00:00
Banjarnegara_2023-11-22T18:00:00,Banjarnegara,2023-11-22 18:00:00,3,Berawan,95,21.0,70.0,58,187,8.8,1009,2023-11-22 18:00:00
Bantaeng_2023-11-22T00:00:00,Bantaeng,2023-11-22 00:00:00,1,Cerah Berawan,75,28.0,82.0,31,110,12.0,1010,2023-11-22
Bantaeng_2023-11-22T06:00:00,Bantaeng,2023-11-22 06:00:00,1,Cerah Berawan,60,34.0,93.0,53,110,16.9,1010,2023-11-22 06:00:00
Bantaeng_2023-11-22T12:00:00,Bantaeng,2023-11-22 12:00:00,3,Berawan,70,29.0,84.0,53,102,24.8,1007,2023-11-22 12:00:00
Bantaeng_2023-11-22T18:00:00,Bantaeng,2023-11-22 18:00:00,3,Berawan,80,25.0,77.0,55,108,19.6,1008,2023-11-22 18:00:00
Bantul_2023-11-22T00:00:00,Bantul,2023-11-22 00:00:00,3,Berawan,85,26.0,79.0,51,175,1.9,1011,2023-11-22
Bantul_2023-11-22T06:00:00,Bantul,2023-11-22 06:00:00,1,Cerah Berawan,65,32.0,90.0,62,175,2.7,1010,2023-11-22 06:00:00
Bantul_2023-11-22T12:00:00,Bantul,2023-11-22 12:00:00,1,Cerah Berawan,80,27.0,81.0,61,167,17.0,1009,2023-11-22 12:00:00
Bantul_2023-11-22T18:00:00,Bantul,2023-11-22 18:00:00,3,Berawan,95,24.0,75.0,54,167,15.3,1008,2023-11-22 18:00:00
Banyumas_2023-11-22T00:00:00,Banyumas,2023-11-22 00:00:00,3,Berawan,80,26.0,79.0,47,159,2.4,1012,2023-11-22
Banyumas_2023-11-22T06:00:00,Banyumas,2023-11-22 06:00:00,4,Berawan Tebal,60,31.0,88.0,59,159,2.2,1010,2023-11-22 06:00:00
Banyumas_2023-11-22T12:00:00,Banyumas,2023-11-22 12:00:00,4,Berawan Tebal,85,26.0,79.0,58,161,10.5,1009,2023-11-22 12:00:00
Banyumas_2023-11-22T18:00:00,Banyumas,2023-11-22 18:00:00,3,Berawan,90,23.0,73.0,53,162,11.2,1008,2023-11-22 18:00:00
Banyuwangi_2023-11-22T00:00:00,Banyuwangi,2023-11-22 00:00:00,3,Berawan,90,27.0,81.0,40,148,4.2,1011,2023-11-22
Banyuwangi_2023-11-22T06:00:00,Banyuwangi,2023-11-22 06:00:00,0,,60,32.0,90.0,45,148,4.6,1011,2023-11-22 06:00:00
Banyuwangi_2023-11-22T12:00:00,Banyuwangi,2023-11-22 12:00:00,1,Cerah Berawan,85,27.0,81.0,38,148,10.5,1009,2023-11-22 12:00:00
Banyuwangi_2023-11-22T18:00:00,Banyuwangi,2023-11-22 18:00:00,1,Cerah Berawan,85,25.0,77.0,36,147,9.1,1009,2023-11-22 18:00:00
Barru_2023-11-22T00:00:00,Barru,2023-11-22 00:00:00,60,Hujan Ringan,75,27.0,81.0,45,221,10.6,1009,2023-11-22
Barru_2023-11-22T06:00:00,Barru,2023-11-22 06:00:00,1,Cerah Berawan,60,34.0,93.0,40,221,6.2,1009,2023-11-22 06:00:00
Barru_2023-11-22T12:00:00,Barru,2023-11-22 12:00:00,3,Berawan,75,29.0,84.0,43,212,1.1,1007,2023-11-22 12:00:00
Barru_2023-11-22T18:00:00,Barru,2023-11-22 18:00:00,3,Berawan,85,25.0,77.0,54,214,7.1,1006,2023-11-22 18:00:00
