kota,jamCuaca,kodeCuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar
Ambon,2023-11-20 00:00:00,3,80,29.0,84.0,47,174,7.4,1010
Ambon,2023-11-20 06:00:00,3,65,32.0,90.0,52,174,11.1,1011
Ambon,2023-11-20 12:00:00,1,80,28.0,82.0,54,174,18.4,1009
Ambon,2023-11-20 18:00:00,1,95,24.0,75.0,51,174,12.8,1010
Badung,2023-11-20 00:00:00,3,85,28.0,82.0,69,184,3.7,1012
Badung,2023-11-20 06:00:00,3,65,32.0,90.0,69,184,5.4,1012
Badung,2023-11-20 12:00:00,1,80,28.0,82.0,41,184,15.4,1011
Badung,2023-11-20 18:00:00,1,80,26.0,79.0,55,184,9.6,1011
Balikpapan,2023-11-20 00:00:00,3,100,26.0,79.0,44,217,9.3,1010
Balikpapan,2023-11-20 06:00:00,60,80,29.0,84.0,31,217,5.5,1009
Balikpapan,2023-11-20 12:00:00,60,90,26.0,79.0,29,174,7.4,1010
Balikpapan,2023-11-20 18:00:00,3,100,25.0,77.0,26,176,9.4,1008
Banda Aceh,2023-11-20 00:00:00,1,90,23.0,73.0,29,174,6.6,1012
Banda Aceh,2023-11-20 06:00:00,1,65,31.0,88.0,31,174,15.7,1010
Banda Aceh,2023-11-20 12:00:00,3,90,25.0,77.0,33,174,15.4,1012
Banda Aceh,2023-11-20 18:00:00,60,95,23.0,73.0,33,174,4.7,1009
Bandung,2023-11-20 00:00:00,1,85,25.0,77.0,127,352,1.5,1014
Bandung,2023-11-20 06:00:00,60,55,31.0,88.0,81,352,4.9,1013
Bandung,2023-11-20 12:00:00,1,80,25.0,77.0,67,352,6.9,1012
Bandung,2023-11-20 18:00:00,1,90,22.0,72.0,100,352,3.7,1011
Banggai,2023-11-20 00:00:00,3,75,26.0,79.0,26,207,11.3,1010
Banggai,2023-11-20 06:00:00,3,65,33.0,91.0,30,207,11.4,1011
Banggai,2023-11-20 12:00:00,1,85,24.0,75.0,30,198,12.9,1010
Banggai,2023-11-20 18:00:00,1,80,23.0,73.0,33,200,10.7,1009
Bangkalan,2023-11-20 00:00:00,0,80,28.0,82.0,75,39,9.9,1010
Bangkalan,2023-11-20 06:00:00,0,60,33.0,91.0,72,39,7.8,1011
Bangkalan,2023-11-20 12:00:00,1,75,29.0,84.0,82,33,6.3,1010
Bangkalan,2023-11-20 18:00:00,1,85,26.0,79.0,70,36,14.7,1008
Bangli,2023-11-20 00:00:00,3,90,27.0,81.0,40,168,0.9,1012
Bangli,2023-11-20 06:00:00,3,70,31.0,88.0,37,168,3.5,1013
Bangli,2023-11-20 12:00:00,1,85,27.0,81.0,33,156,12.5,1012
Bangli,2023-11-20 18:00:00,1,85,25.0,77.0,34,156,6.4,1011
Banjar,2023-11-20 00:00:00,1,85,25.0,77.0,70,199,1.8,1015
Banjar,2023-11-20 06:00:00,60,55,32.0,90.0,59,199,4.2,1014
Banjar,2023-11-20 12:00:00,3,85,26.0,79.0,59,203,5.1,1013
Banjar,2023-11-20 18:00:00,1,95,24.0,75.0,62,204,3.2,1012
Banjarmasin,2023-11-20 00:00:00,3,90,27.0,81.0,53,201,5.7,1010
Banjarmasin,2023-11-20 06:00:00,95,60,33.0,91.0,53,201,3.0,1010
Banjarmasin,2023-11-20 12:00:00,3,85,26.0,79.0,42,217,8.4,1009
Banjarmasin,2023-11-20 18:00:00,1,95,24.0,75.0,37,214,2.6,1008
Banjarnegara,2023-11-20 00:00:00,3,85,26.0,79.0,62,173,1.9,1014
Banjarnegara,2023-11-20 06:00:00,3,65,30.0,86.0,56,173,2.7,1013
Banjarnegara,2023-11-20 12:00:00,4,80,27.0,81.0,49,174,8.5,1012
Banjarnegara,2023-11-20 18:00:00,3,90,22.0,72.0,44,173,8.1,1011
Bantaeng,2023-11-20 00:00:00,1,80,27.0,81.0,60,134,7.7,1011
Bantaeng,2023-11-20 06:00:00,60,65,34.0,93.0,55,134,9.0,1012
Bantaeng,2023-11-20 12:00:00,3,75,29.0,84.0,54,113,20.9,1010
Bantaeng,2023-11-20 18:00:00,3,85,25.0,77.0,52,113,14.6,1010
Bantul,2023-11-20 00:00:00,3,80,27.0,81.0,54,182,2.7,1012
Bantul,2023-11-20 06:00:00,1,65,32.0,90.0,53,182,1.4,1012
Bantul,2023-11-20 12:00:00,1,85,27.0,81.0,45,164,16.3,1011
Bantul,2023-11-20 18:00:00,3,95,25.0,77.0,42,166,16.1,1010
Banyumas,2023-11-20 00:00:00,3,85,26.0,79.0,60,177,2.4,1013
Banyumas,2023-11-20 06:00:00,3,65,31.0,88.0,56,177,1.9,1012
Banyumas,2023-11-20 12:00:00,4,80,27.0,81.0,52,162,12.2,1011
Banyumas,2023-11-20 18:00:00,3,90,23.0,73.0,43,161,10.8,1010
Banyuwangi,2023-11-20 00:00:00,1,80,27.0,81.0,44,155,5.4,1012
Banyuwangi,2023-11-20 06:00:00,0,60,31.0,88.0,37,155,6.2,1013
Banyuwangi,2023-11-20 12:00:00,1,80,27.0,81.0,33,155,12.9,1012
Banyuwangi,2023-11-20 18:00:00,1,85,25.0,77.0,33,154,8.6,1011
Barru,2023-11-20 00:00:00,1,80,26.0,79.0,45,216,5.5,1010
Barru,2023-11-20 06:00:00,60,65,33.0,91.0,47,216,6.0,1011
Barru,2023-11-20 12:00:00,3,75,28.0,82.0,52,221,9.3,1009
Barru,2023-11-20 18:00:00,3,85,24.0,75.0,52,222,7.0,1009
Batam,2023-11-20 00:00:00,1,90,25.0,77.0,52,20,17.5,1011
Batam,2023-11-20 06:00:00,61,65,32.0,90.0,37,20,5.5,1011
Batam,2023-11-20 12:00:00,95,90,26.0,79.0,58,20,13.0,1012
Batam,2023-11-20 18:00:00,95,95,24.0,75.0,65,20,6.9,1008
Batang,2023-11-20 00:00:00,1,75,28.0,82.0,74,156,12.5,1011
Batang,2023-11-20 06:00:00,3,55,34.0,93.0,69,156,12.9,1011
Batang,2023-11-20 12:00:00,3,75,28.0,82.0,74,12,13.0,1010
Batang,2023-11-20 18:00:00,3,85,25.0,77.0,81,10,10.9,1009
Batu,2023-11-20 00:00:00,1,90,20.0,68.0,52,159,3.2,1014
Batu,2023-11-20 06:00:00,3,70,27.0,81.0,46,159,3.0,1013
Batu,2023-11-20 12:00:00,1,90,18.0,64.0,48,143,1.7,1012
Batu,2023-11-20 18:00:00,45,100,16.0,61.0,54,142,4.6,1012
Bekasi,2023-11-20 00:00:00,1,80,25.0,77.0,94,1,14.8,1006
Bekasi,2023-11-20 06:00:00,61,55,34.0,93.0,102,1,5.5,1006
Bekasi,2023-11-20 12:00:00,61,80,25.0,77.0,97,1,13.0,1010
Bekasi,2023-11-20 18:00:00,60,90,23.0,73.0,92,1,10.9,1009
Bengkalis,2023-11-20 00:00:00,3,85,27.0,81.0,23,20,13.4,1011
Bengkalis,2023-11-20 06:00:00,3,75,30.0,86.0,24,20,11.3,1010
Bengkalis,2023-11-20 12:00:00,60,85,28.0,82.0,27,38,12.3,1011
