id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Agats_2023-11-23T00:00:00,Agats,53,225,1.4,1008,2023-11-23
Agats_2023-11-23T06:00:00,Agats,47,225,5.2,1009,2023-11-23 06:00:00
Agats_2023-11-23T12:00:00,Agats,47,220,12.2,1006,2023-11-23 12:00:00
Agats_2023-11-23T18:00:00,Agats,54,224,8.1,1007,2023-11-23 18:00:00
Ambon_2023-11-23T00:00:00,Ambon,48,137,9.3,1008,2023-11-23
Ambon_2023-11-23T06:00:00,Ambon,52,137,9.3,1008,2023-11-23 06:00:00
Ambon_2023-11-23T12:00:00,Ambon,53,137,14.8,1007,2023-11-23 12:00:00
Ambon_2023-11-23T18:00:00,Ambon,52,137,5.5,1005,2023-11-23 18:00:00
Badung_2023-11-23T00:00:00,Badung,73,154,6.6,1010,2023-11-23
Badung_2023-11-23T06:00:00,Badung,96,154,5.8,1010,2023-11-23 06:00:00
Badung_2023-11-23T12:00:00,Badung,65,154,14.4,1008,2023-11-23 12:00:00
Badung_2023-11-23T18:00:00,Badung,71,154,9.3,1008,2023-11-23 18:00:00
Balikpapan_2023-11-23T00:00:00,Balikpapan,32,167,7.4,1008,2023-11-23
Balikpapan_2023-11-23T06:00:00,Balikpapan,29,167,4.6,1008,2023-11-23 06:00:00
Balikpapan_2023-11-23T12:00:00,Balikpapan,30,68,11.1,1008,2023-11-23 12:00:00
Balikpapan_2023-11-23T18:00:00,Balikpapan,38,114,3.7,1005,2023-11-23 18:00:00
Banda Aceh_2023-11-23T00:00:00,Banda Aceh,37,94,4.8,1011,2023-11-23
Banda Aceh_2023-11-23T06:00:00,Banda Aceh,53,94,2.1,1008,2023-11-23 06:00:00
Banda Aceh_2023-11-23T12:00:00,Banda Aceh,54,94,6.7,1011,2023-11-23 12:00:00
Banda Aceh_2023-11-23T18:00:00,Banda Aceh,55,94,6.1,1007,2023-11-23 18:00:00
Bandarlampung_2023-11-23T00:00:00,Bandarlampung,59,184,5.4,1010,2023-11-23
Bandarlampung_2023-11-23T06:00:00,Bandarlampung,69,184,5.3,1008,2023-11-23 06:00:00
Bandarlampung_2023-11-23T12:00:00,Bandarlampung,68,184,10.2,1009,2023-11-23 12:00:00
Bandarlampung_2023-11-23T18:00:00,Bandarlampung,66,184,4.5,1006,2023-11-23 18:00:00
Bandjarbaru_2023-11-23T00:00:00,Bandjarbaru,58,191,5.5,1007,2023-11-23
Bandjarbaru_2023-11-23T06:00:00,Bandjarbaru,67,191,7.4,1006,2023-11-23 06:00:00
Bandjarbaru_2023-11-23T12:00:00,Bandjarbaru,77,191,16.7,1008,2023-11-23 12:00:00
Bandjarbaru_2023-11-23T18:00:00,Bandjarbaru,39,191,9.3,1006,2023-11-23 18:00:00
Bandung_2023-11-23T00:00:00,Bandung,154,8,3.7,1012,2023-11-23
Bandung_2023-11-23T06:00:00,Bandung,156,8,4.4,1010,2023-11-23 06:00:00
Bandung_2023-11-23T12:00:00,Bandung,95,8,5.7,1010,2023-11-23 12:00:00
Bandung_2023-11-23T18:00:00,Bandung,161,8,5.2,1008,2023-11-23 18:00:00
Banggai_2023-11-23T00:00:00,Banggai,31,190,1.7,1008,2023-11-23
Banggai_2023-11-23T06:00:00,Banggai,31,190,2.2,1008,2023-11-23 06:00:00
Banggai_2023-11-23T12:00:00,Banggai,29,191,8.5,1007,2023-11-23 12:00:00
Banggai_2023-11-23T18:00:00,Banggai,29,118,6.3,1007,2023-11-23 18:00:00
Bangkalan_2023-11-23T00:00:00,Bangkalan,68,26,8.7,1008,2023-11-23
Bangkalan_2023-11-23T06:00:00,Bangkalan,61,26,0.6,1008,2023-11-23 06:00:00
Bangkalan_2023-11-23T12:00:00,Bangkalan,73,29,1.6,1008,2023-11-23 12:00:00
Bangkalan_2023-11-23T18:00:00,Bangkalan,59,29,16.1,1006,2023-11-23 18:00:00
Bangli_2023-11-23T00:00:00,Bangli,44,150,2.2,1010,2023-11-23
Bangli_2023-11-23T06:00:00,Bangli,35,150,1.1,1010,2023-11-23 06:00:00
Bangli_2023-11-23T12:00:00,Bangli,42,149,10.9,1009,2023-11-23 12:00:00
Bangli_2023-11-23T18:00:00,Bangli,43,150,5.8,1008,2023-11-23 18:00:00
Banjar_2023-11-23T00:00:00,Banjar,68,139,0.8,1012,2023-11-23
Banjar_2023-11-23T06:00:00,Banjar,69,139,3.2,1011,2023-11-23 06:00:00
Banjar_2023-11-23T12:00:00,Banjar,60,146,3.0,1011,2023-11-23 12:00:00
Banjar_2023-11-23T18:00:00,Banjar,63,133,0.2,1009,2023-11-23 18:00:00
Banjarmasin_2023-11-23T00:00:00,Banjarmasin,54,217,5.2,1007,2023-11-23
Banjarmasin_2023-11-23T06:00:00,Banjarmasin,42,217,5.5,1007,2023-11-23 06:00:00
Banjarmasin_2023-11-23T12:00:00,Banjarmasin,39,40,2.6,1008,2023-11-23 12:00:00
Banjarmasin_2023-11-23T18:00:00,Banjarmasin,47,13,5.3,1006,2023-11-23 18:00:00
Banjarnegara_2023-11-23T00:00:00,Banjarnegara,84,183,1.8,1011,2023-11-23
Banjarnegara_2023-11-23T06:00:00,Banjarnegara,69,183,3.0,1010,2023-11-23 06:00:00
Banjarnegara_2023-11-23T12:00:00,Banjarnegara,52,184,6.2,1010,2023-11-23 12:00:00
Banjarnegara_2023-11-23T18:00:00,Banjarnegara,62,183,6.5,1008,2023-11-23 18:00:00
Bantaeng_2023-11-23T00:00:00,Bantaeng,55,108,14.9,1008,2023-11-23
Bantaeng_2023-11-23T06:00:00,Bantaeng,48,108,10.4,1009,2023-11-23 06:00:00
Bantaeng_2023-11-23T12:00:00,Bantaeng,49,106,22.9,1007,2023-11-23 12:00:00
Bantaeng_2023-11-23T18:00:00,Bantaeng,46,102,15.6,1007,2023-11-23 18:00:00
Bantul_2023-11-23T00:00:00,Bantul,59,165,3.2,1010,2023-11-23
Bantul_2023-11-23T06:00:00,Bantul,57,165,1.7,1009,2023-11-23 06:00:00
Bantul_2023-11-23T12:00:00,Bantul,49,166,18.4,1009,2023-11-23 12:00:00
Bantul_2023-11-23T18:00:00,Bantul,54,163,15.2,1007,2023-11-23 18:00:00
Banyumas_2023-11-23T00:00:00,Banyumas,70,160,1.7,1010,2023-11-23
Banyumas_2023-11-23T06:00:00,Banyumas,63,160,1.6,1009,2023-11-23 06:00:00
Banyumas_2023-11-23T12:00:00,Banyumas,49,152,9.8,1009,2023-11-23 12:00:00
Banyumas_2023-11-23T18:00:00,Banyumas,54,153,9.7,1007,2023-11-23 18:00:00
Banyuwangi_2023-11-23T00:00:00,Banyuwangi,41,149,3.9,1010,2023-11-23
Banyuwangi_2023-11-23T06:00:00,Banyuwangi,38,149,3.6,1010,2023-11-23 06:00:00
Banyuwangi_2023-11-23T12:00:00,Banyuwangi,38,153,10.3,1009,2023-11-23 12:00:00
Banyuwangi_2023-11-23T18:00:00,Banyuwangi,41,153,7.6,1008,2023-11-23 18:00:00
Barru_2023-11-23T00:00:00,Barru,53,212,6.7,1008,2023-11-23
Barru_2023-11-23T06:00:00,Barru,39,212,5.0,1008,2023-11-23 06:00:00
Barru_2023-11-23T12:00:00,Barru,41,225,11.3,1007,2023-11-23 12:00:00
Barru_2023-11-23T18:00:00,Barru,43,222,6.6,1006,2023-11-23 18:00:00
Batam_2023-11-23T00:00:00,Batam,79,6,5.5,1012,2023-11-23
Batam_2023-11-23T06:00:00,Batam,79,284,20.7,1008,2023-11-23 06:00:00
Batam_2023-11-23T12:00:00,Batam,64,6,9.3,1011,2023-11-23 12:00:00
Batam_2023-11-23T18:00:00,Batam,64,6,2.5,1006,2023-11-23 18:00:00
Batang_2023-11-23T00:00:00,Batang,82,33,7.3,1009,2023-11-23
Batang_2023-11-23T06:00:00,Batang,81,33,7.7,1008,2023-11-23 06:00:00
Batang_2023-11-23T12:00:00,Batang,80,5,14.2,1008,2023-11-23 12:00:00
Batang_2023-11-23T18:00:00,Batang,81,23,14.4,1006,2023-11-23 18:00:00
Batu_2023-11-23T00:00:00,Batu,56,189,2.9,1011,2023-11-23
Batu_2023-11-23T06:00:00,Batu,54,189,1.9,1011,2023-11-23 06:00:00
Batu_2023-11-23T12:00:00,Batu,54,77,1.7,1009,2023-11-23 12:00:00
Batu_2023-11-23T18:00:00,Batu,64,202,3.0,1009,2023-11-23 18:00:00
Bekasi_2023-11-23T00:00:00,Bekasi,93,4,4.0,1002,2023-11-23
Bekasi_2023-11-23T06:00:00,Bekasi,105,4,7.4,1003,2023-11-23 06:00:00
Bekasi_2023-11-23T12:00:00,Bekasi,132,4,9.3,1004,2023-11-23 12:00:00
Bekasi_2023-11-23T18:00:00,Bekasi,132,4,9.3,1002,2023-11-23 18:00:00
Bengkalis_2023-11-23T00:00:00,Bengkalis,31,315,6.7,1011,2023-11-23
Bengkalis_2023-11-23T06:00:00,Bengkalis,28,315,8.8,1009,2023-11-23 06:00:00
