id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-20T00:00:00,Banda Aceh,29,174,6.6,1012,2023-11-20
Langsa_2023-11-20T00:00:00,Langsa,27,41,3.5,1012,2023-11-20
Lhokseumawe_2023-11-20T00:00:00,Lhokseumawe,26,85,12.5,1012,2023-11-20
Sabang_2023-11-20T00:00:00,Sabang,29,98,22.5,1012,2023-11-20
Bangli_2023-11-20T00:00:00,Bangli,40,168,0.9,1012,2023-11-20
Denpasar_2023-11-20T00:00:00,Denpasar,76,182,1.8,1011,2023-11-20
Gianyar_2023-11-20T00:00:00,Gianyar,41,174,2.0,1012,2023-11-20
Badung_2023-11-20T00:00:00,Badung,69,184,3.7,1012,2023-11-20
Klungkung_2023-11-20T00:00:00,Klungkung,39,175,0.9,1012,2023-11-20
Kabupaten Buleleng_2023-11-20T00:00:00,Kabupaten Buleleng,37,186,10.3,1012,2023-11-20
Tabanan_2023-11-20T00:00:00,Tabanan,41,180,5.0,1012,2023-11-20
Pandeglang_2023-11-20T00:00:00,Pandeglang,108,217,5.0,1012,2023-11-20
Kabupaten Serang_2023-11-20T00:00:00,Kabupaten Serang,67,344,6.9,1011,2023-11-20
Tangerang_2023-11-20T00:00:00,Tangerang,157,5,14.8,1010,2023-11-20
Kabupaten Serang_2023-11-20T00:00:00,Kabupaten Serang,67,344,6.9,1011,2023-11-20
South Tangerang_2023-11-20T00:00:00,South Tangerang,160,10,14.8,1008,2023-11-20
Bengkulu_2023-11-20T00:00:00,Bengkulu,73,199,9.1,1012,2023-11-20
Kepahiang_2023-11-20T00:00:00,Kepahiang,47,181,0.8,1013,2023-11-20
Bantul_2023-11-20T00:00:00,Bantul,54,182,2.7,1012,2023-11-20
Sleman_2023-11-20T00:00:00,Sleman,61,192,3.9,1013,2023-11-20
Yogyakarta_2023-11-20T00:00:00,Yogyakarta,54,186,2.3,1013,2023-11-20
Propinsi Gorontalo_2023-11-20T00:00:00,Propinsi Gorontalo,64,216,3.0,1010,2023-11-20
Propinsi Gorontalo_2023-11-20T00:00:00,Propinsi Gorontalo,64,216,3.0,1010,2023-11-20
Jambi_2023-11-20T00:00:00,Jambi,80,66,4.5,1011,2023-11-20
Muara Sabak_2023-11-20T00:00:00,Muara Sabak,47,330,6.5,1011,2023-11-20
Sungai Penuh_2023-11-20T00:00:00,Sungai Penuh,53,46,2.0,1015,2023-11-20
Sarolangun_2023-11-20T00:00:00,Sarolangun,57,331,3.9,1012,2023-11-20
Bandung_2023-11-20T00:00:00,Bandung,127,352,1.5,1014,2023-11-20
Banjar_2023-11-20T00:00:00,Banjar,70,199,1.8,1015,2023-11-20
Ciamis_2023-11-20T00:00:00,Ciamis,59,152,2.6,1014,2023-11-20
Cianjur_2023-11-20T00:00:00,Cianjur,90,194,1.4,1013,2023-11-20
Bogor_2023-11-20T00:00:00,Bogor,85,4,4.9,1012,2023-11-20
Bekasi_2023-11-20T00:00:00,Bekasi,94,1,14.8,1006,2023-11-20
Cimahi_2023-11-20T00:00:00,Cimahi,93,8,0.9,1013,2023-11-20
Cirebon_2023-11-20T00:00:00,Cirebon,153,37,13.7,1011,2023-11-20
Garut_2023-11-20T00:00:00,Garut,61,131,4.1,1015,2023-11-20
Indramayu_2023-11-20T00:00:00,Indramayu,68,25,3.8,1011,2023-11-20
Karawang_2023-11-20T00:00:00,Karawang,89,319,5.8,1010,2023-11-20
Kuningan_2023-11-20T00:00:00,Kuningan,60,162,11.2,1013,2023-11-20
Majalengka_2023-11-20T00:00:00,Majalengka,70,88,8.1,1013,2023-11-20
Purwakarta_2023-11-20T00:00:00,Purwakarta,164,7,3.9,1012,2023-11-20
Tasikmalaya_2023-11-20T00:00:00,Tasikmalaya,59,153,2.1,1014,2023-11-20
Bandung_2023-11-20T00:00:00,Bandung,127,352,1.5,1014,2023-11-20
Subang_2023-11-20T00:00:00,Subang,59,157,7.5,1013,2023-11-20
Cirebon_2023-11-20T00:00:00,Cirebon,153,37,13.7,1011,2023-11-20
Sumedang_2023-11-20T00:00:00,Sumedang,83,61,5.5,1013,2023-11-20
Tasikmalaya_2023-11-20T00:00:00,Tasikmalaya,59,153,2.1,1014,2023-11-20
Bogor_2023-11-20T00:00:00,Bogor,85,4,4.9,1012,2023-11-20
Bekasi_2023-11-20T00:00:00,Bekasi,94,1,14.8,1006,2023-11-20
Bogor_2023-11-20T00:00:00,Bogor,85,4,4.9,1012,2023-11-20
Cianjur_2023-11-20T00:00:00,Cianjur,90,194,1.4,1013,2023-11-20
Banjarnegara_2023-11-20T00:00:00,Banjarnegara,62,173,1.9,1014,2023-11-20
Batang_2023-11-20T00:00:00,Batang,74,156,12.5,1011,2023-11-20
Blora_2023-11-20T00:00:00,Blora,79,194,5.0,1011,2023-11-20
Boyolali_2023-11-20T00:00:00,Boyolali,53,204,10.5,1013,2023-11-20
Brebes_2023-11-20T00:00:00,Brebes,58,205,14.7,1011,2023-11-20
