id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-20T06:00:00,Banda Aceh,31,174,15.7,1010 ,2023-11-20 06
Langsa_2023-11-20T06:00:00,Langsa,29,41,3.9,1011 ,2023-11-20 06
Lhokseumawe_2023-11-20T06:00:00,Lhokseumawe,35,85,9,1011 ,2023-11-20 06
Sabang_2023-11-20T06:00:00,Sabang,37,98,32.7,1010 ,2023-11-20 06
Bangli_2023-11-20T06:00:00,Bangli,37,168,3.5,1013 ,2023-11-20 06
Denpasar_2023-11-20T06:00:00,Denpasar,54,182,3.7,1011 ,2023-11-20 06
Gianyar_2023-11-20T06:00:00,Gianyar,37,174,4.6,1012 ,2023-11-20 06
Badung_2023-11-20T06:00:00,Badung,69,184,5.4,1012 ,2023-11-20 06
Klungkung_2023-11-20T06:00:00,Klungkung,37,175,3.5,1012 ,2023-11-20 06
Kabupaten Buleleng_2023-11-20T06:00:00,Kabupaten Buleleng,25,186,10.2,1012 ,2023-11-20 06
Tabanan_2023-11-20T06:00:00,Tabanan,37,180,6.2,1012 ,2023-11-20 06
Pandeglang_2023-11-20T06:00:00,Pandeglang,84,217,4,1011 ,2023-11-20 06
Kabupaten Serang_2023-11-20T06:00:00,Kabupaten Serang,71,344,6.8,1010 ,2023-11-20 06
Tangerang_2023-11-20T06:00:00,Tangerang,143,5,3.7,1010 ,2023-11-20 06
Kabupaten Serang_2023-11-20T06:00:00,Kabupaten Serang,71,344,6.8,1010 ,2023-11-20 06
South Tangerang_2023-11-20T06:00:00,South Tangerang,107,10,5.5,1010 ,2023-11-20 06
Bengkulu_2023-11-20T06:00:00,Bengkulu,61,199,9.5,1011 ,2023-11-20 06
Kepahiang_2023-11-20T06:00:00,Kepahiang,42,181,0.9,1012 ,2023-11-20 06
Bantul_2023-11-20T06:00:00,Bantul,53,182,1.4,1012 ,2023-11-20 06
Sleman_2023-11-20T06:00:00,Sleman,52,192,3.6,1013 ,2023-11-20 06
Yogyakarta_2023-11-20T06:00:00,Yogyakarta,54,186,2.4,1012 ,2023-11-20 06
Propinsi Gorontalo_2023-11-20T06:00:00,Propinsi Gorontalo,64,216,3.9,1011 ,2023-11-20 06
Propinsi Gorontalo_2023-11-20T06:00:00,Propinsi Gorontalo,64,216,3.9,1011 ,2023-11-20 06
Jambi_2023-11-20T06:00:00,Jambi,88,66,4.4,1010 ,2023-11-20 06
Muara Sabak_2023-11-20T06:00:00,Muara Sabak,43,330,7.8,1010 ,2023-11-20 06
Sungai Penuh_2023-11-20T06:00:00,Sungai Penuh,48,46,3.9,1013 ,2023-11-20 06
Sarolangun_2023-11-20T06:00:00,Sarolangun,53,331,3.6,1010 ,2023-11-20 06
