id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Agats_2023-11-28T00:00:00,Agats,46,226,1.8,1008,2023-11-28
Agats_2023-11-28T06:00:00,Agats,44,226,4.2,1011,2023-11-28 06:00:00
Agats_2023-11-28T12:00:00,Agats,45,231,10.5,1007,2023-11-28 12:00:00
Agats_2023-11-28T18:00:00,Agats,49,355,5.6,1008,2023-11-28 18:00:00
Ambon_2023-11-28T00:00:00,Ambon,34,183,9.3,1009,2023-11-28
Ambon_2023-11-28T06:00:00,Ambon,35,183,4.2,1010,2023-11-28 06:00:00
Ambon_2023-11-28T12:00:00,Ambon,36,183,14.8,1008,2023-11-28 12:00:00
Ambon_2023-11-28T18:00:00,Ambon,36,183,7.4,1008,2023-11-28 18:00:00
Badung_2023-11-28T00:00:00,Badung,55,200,2.2,1011,2023-11-28
Badung_2023-11-28T06:00:00,Badung,101,200,1.7,1011,2023-11-28 06:00:00
Badung_2023-11-28T12:00:00,Badung,55,200,10.4,1010,2023-11-28 12:00:00
Badung_2023-11-28T18:00:00,Badung,49,200,3.1,1009,2023-11-28 18:00:00
Balikpapan_2023-11-28T00:00:00,Balikpapan,48,291,1.4,1009,2023-11-28
Balikpapan_2023-11-28T06:00:00,Balikpapan,37,291,3.7,1009,2023-11-28 06:00:00
Balikpapan_2023-11-28T12:00:00,Balikpapan,35,130,5.5,1009,2023-11-28 12:00:00
Balikpapan_2023-11-28T18:00:00,Balikpapan,39,145,0.0,1007,2023-11-28 18:00:00
Banda Aceh_2023-11-28T00:00:00,Banda Aceh,36,187,13.4,1010,2023-11-28
Banda Aceh_2023-11-28T06:00:00,Banda Aceh,20,187,17.6,1008,2023-11-28 06:00:00
Banda Aceh_2023-11-28T12:00:00,Banda Aceh,14,187,14.6,1010,2023-11-28 12:00:00
Banda Aceh_2023-11-28T18:00:00,Banda Aceh,13,187,1.9,1006,2023-11-28 18:00:00
Bandarlampung_2023-11-28T00:00:00,Bandarlampung,66,196,4.9,1011,2023-11-28
Bandarlampung_2023-11-28T06:00:00,Bandarlampung,67,196,7.4,1010,2023-11-28 06:00:00
