id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),last_update
Banda Aceh_2023-11-18T18:53:54,Banda Aceh,39,Angin berputar 9 derajat,13 km/h,1010 mbar,2023-11-18 18:53:54
Langsa_2023-11-18T18:53:54,Langsa,30*,Angin berputar 47 derajat,3.8 km/h,1010 mbar,2023-11-18 18:53:54
Lhokseumawe_2023-11-18T18:53:54,Lhokseumawe,33*,Angin berputar 47 derajat,7.6 km/h,1010 mbar,2023-11-18 18:53:54
Sabang_2023-11-18T18:53:54,Sabang,36*,Angin berputar 91 derajat,18.9 km/h,1010 mbar,2023-11-18 18:53:54
Bangli_2023-11-18T18:53:54,Bangli,38*,Angin berputar 182 derajat,4.4 km/h,1012 mbar,2023-11-18 18:53:54
Denpasar_2023-11-18T18:53:54,Denpasar,68,Angin berputar 154 derajat,8.1 km/h,1010 mbar,2023-11-18 18:53:54
Gianyar_2023-11-18T18:53:54,Gianyar,38*,Angin berputar 181 derajat,5.5 km/h,1011 mbar,2023-11-18 18:53:54
Badung_2023-11-18T18:53:54,Badung,65,Angin berputar 153 derajat,6.9 km/h,1011 mbar,2023-11-18 18:53:54
Klungkung_2023-11-18T18:53:54,Klungkung,38*,Angin berputar 182 derajat,5.5 km/h,1011 mbar,2023-11-18 18:53:54
Kabupaten Buleleng_2023-11-18T18:53:54,Kabupaten Buleleng,29,Angin berputar 191 derajat,12.5 km/h,1011 mbar,2023-11-18 18:53:54
Tabanan_2023-11-18T18:53:54,Tabanan,38*,Angin berputar 182 derajat,7.1 km/h,1011 mbar,2023-11-18 18:53:54
Pangkalpinang_2023-11-18T18:53:54,Pangkalpinang,34*,Angin berputar 53 derajat,5.7 km/h,1009 mbar,2023-11-18 18:53:54
Pandeglang_2023-11-18T18:53:54,Pandeglang,82*,Angin berputar 218 derajat,6.1 km/h,1009 mbar,2023-11-18 18:53:54
Kabupaten Serang_2023-11-18T18:53:54,Kabupaten Serang,90,Angin berputar 310 derajat,6.8 km/h,1008 mbar,2023-11-18 18:53:54
Tangerang_2023-11-18T18:53:54,Tangerang,143,Angin berputar 358 derajat,22.2 km/h,1008 mbar,2023-11-18 18:53:54
Kabupaten Serang_2023-11-18T18:53:54,Kabupaten Serang,90,Angin berputar 310 derajat,6.8 km/h,1008 mbar,2023-11-18 18:53:54
Pandeglang_2023-11-18T18:53:54,Pandeglang,82*,Angin berputar 218 derajat,6.1 km/h,1009 mbar,2023-11-18 18:53:54
Pandeglang_2023-11-18T18:53:54,Pandeglang,82*,Angin berputar 218 derajat,6.1 km/h,1009 mbar,2023-11-18 18:53:54
Kabupaten Serang_2023-11-18T18:53:54,Kabupaten Serang,90,Angin berputar 310 derajat,6.8 km/h,1008 mbar,2023-11-18 18:53:54
Pandeglang_2023-11-18T18:53:54,Pandeglang,82*,Angin berputar 218 derajat,6.1 km/h,1009 mbar,2023-11-18 18:53:54
Tangerang_2023-11-18T18:53:54,Tangerang,143,Angin berputar 358 derajat,22.2 km/h,1008 mbar,2023-11-18 18:53:54
Kabupaten Serang_2023-11-18T18:53:54,Kabupaten Serang,90,Angin berputar 310 derajat,6.8 km/h,1008 mbar,2023-11-18 18:53:54
Kepahiang_2023-11-18T18:53:54,Kepahiang,45*,Angin berputar 229 derajat,3.3 km/h,1010 mbar,2023-11-18 18:53:54
Bantul_2023-11-18T18:53:54,Bantul,46*,Angin berputar 188 derajat,11.4 km/h,1011 mbar,2023-11-18 18:53:54
Sleman_2023-11-18T18:53:54,Sleman,65,Angin berputar 198 derajat,8.9 km/h,1011 mbar,2023-11-18 18:53:54
Yogyakarta_2023-11-18T18:53:54,Yogyakarta,45*,Angin berputar 193 derajat,9.5 km/h,1011 mbar,2023-11-18 18:53:54
Propinsi Gorontalo_2023-11-18T18:53:54,Propinsi Gorontalo,62,Angin berputar 223 derajat,1.9 km/h,1010 mbar,2023-11-18 18:53:54
Propinsi Gorontalo_2023-11-18T18:53:54,Propinsi Gorontalo,62,Angin berputar 223 derajat,1.9 km/h,1010 mbar,2023-11-18 18:53:54
Propinsi Gorontalo_2023-11-18T18:53:54,Propinsi Gorontalo,62,Angin berputar 223 derajat,1.9 km/h,1010 mbar,2023-11-18 18:53:54
Sungai Penuh_2023-11-18T18:53:54,Sungai Penuh,43*,Angin berputar 222 derajat,2.4 km/h,1012 mbar,2023-11-18 18:53:54
Sarolangun_2023-11-18T18:53:54,Sarolangun,47*,Angin berputar 33 derajat,3.9 km/h,1008 mbar,2023-11-18 18:53:54
Bandung_2023-11-18T18:53:54,Bandung,159,Angin berputar 340 derajat,2.2 km/h,1011 mbar,2023-11-18 18:53:54
Banjar_2023-11-18T18:53:54,Banjar,68*,Angin berputar 209 derajat,5.7 km/h,1012 mbar,2023-11-18 18:53:54
Ciamis_2023-11-18T18:53:54,Ciamis,55*,Angin berputar 151 derajat,7.2 km/h,1011 mbar,2023-11-18 18:53:54
Cianjur_2023-11-18T18:53:54,Cianjur,81*,Angin berputar 332 derajat,2.4 km/h,1010 mbar,2023-11-18 18:53:54
Bogor_2023-11-18T18:53:54,Bogor,84,Angin berputar 26 derajat,1.1 km/h,988 mbar,2023-11-18 18:53:54
Bekasi_2023-11-18T18:53:54,Bekasi,110,Angin berputar 4 derajat,5.9 km/h,1001 mbar,2023-11-18 18:53:54
Cimahi_2023-11-18T18:53:54,Cimahi,87*,Angin berputar 348 derajat,3 km/h,1010 mbar,2023-11-18 18:53:54
Cirebon_2023-11-18T18:53:54,Cirebon,143,Angin berputar 173 derajat,5 km/h,1009 mbar,2023-11-18 18:53:54
Garut_2023-11-18T18:53:54,Garut,55*,Angin berputar 134 derajat,7.1 km/h,1012 mbar,2023-11-18 18:53:54
Indramayu_2023-11-18T18:53:54,Indramayu,83*,Angin berputar 21 derajat,7.8 km/h,1008 mbar,2023-11-18 18:53:54
Karawang_2023-11-18T18:53:54,Karawang,89,Angin berputar 319 derajat,5.8 km/h,1010 mbar,2023-11-18 18:53:54
Kuningan_2023-11-18T18:53:54,Kuningan,57*,Angin berputar 154 derajat,10.1 km/h,1011 mbar,2023-11-18 18:53:54
