id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),accessed
Banda Aceh_2023-11-29T12:00:00,Banda Aceh,19,Angin berputar 53 derajat,10.2 km/h,1011 mbar,2023-11-29 12
Langsa_2023-11-29T12:00:00,Langsa,28*,Angin berputar 279 derajat,5 km/h,1009 mbar,2023-11-29 12
Lhokseumawe_2023-11-29T12:00:00,Lhokseumawe,22*,Angin berputar 314 derajat,5.8 km/h,1010 mbar,2023-11-29 12
Sabang_2023-11-29T12:00:00,Sabang,22*,Angin berputar 22 derajat,15.8 km/h,1010 mbar,2023-11-29 12
Bangli_2023-11-29T12:00:00,Bangli,53*,Angin berputar 160 derajat,8 km/h,1010 mbar,2023-11-29 12
Denpasar_2023-11-29T12:00:00,Denpasar,53,Angin berputar 199 derajat,13 km/h,1009 mbar,2023-11-29 12
Gianyar_2023-11-29T12:00:00,Gianyar,53*,Angin berputar 163 derajat,10.5 km/h,1010 mbar,2023-11-29 12
Badung_2023-11-29T12:00:00,Badung,53,Angin berputar 198 derajat,11.3 km/h,1010 mbar,2023-11-29 12
Klungkung_2023-11-29T12:00:00,Klungkung,53*,Angin berputar 165 derajat,10.3 km/h,1010 mbar,2023-11-29 12
Kabupaten Buleleng_2023-11-29T12:00:00,Kabupaten Buleleng,29,Angin berputar 187 derajat,0.6 km/h,1010 mbar,2023-11-29 12
Tabanan_2023-11-29T12:00:00,Tabanan,53*,Angin berputar 168 derajat,11.2 km/h,1010 mbar,2023-11-29 12
Pandeglang_2023-11-29T12:00:00,Pandeglang,104*,Angin berputar 347 derajat,6.2 km/h,1010 mbar,2023-11-29 12
Kabupaten Serang_2023-11-29T12:00:00,Kabupaten Serang,160,Angin berputar 330 derajat,11.3 km/h,1010 mbar,2023-11-29 12
Tangerang_2023-11-29T12:00:00,Tangerang,162,Angin berputar 351 derajat,11.1 km/h,1013 mbar,2023-11-29 12
Kabupaten Serang_2023-11-29T12:00:00,Kabupaten Serang,160,Angin berputar 330 derajat,11.3 km/h,1010 mbar,2023-11-29 12
South Tangerang_2023-11-29T12:00:00,South Tangerang,137,Angin berputar 2 derajat,18.5 km/h,1005 mbar,2023-11-29 12
Bengkulu_2023-11-29T12:00:00,Bengkulu,89,Angin berputar 230 derajat,5.9 km/h,1009 mbar,2023-11-29 12
Kepahiang_2023-11-29T12:00:00,Kepahiang,38*,Angin berputar 228 derajat,1.3 km/h,1010 mbar,2023-11-29 12
Bantul_2023-11-29T12:00:00,Bantul,56*,Angin berputar 161 derajat,17 km/h,1010 mbar,2023-11-29 12
Sleman_2023-11-29T12:00:00,Sleman,66,Angin berputar 180 derajat,11.1 km/h,1010 mbar,2023-11-29 12
Yogyakarta_2023-11-29T12:00:00,Yogyakarta,56*,Angin berputar 170 derajat,13.4 km/h,1010 mbar,2023-11-29 12
Propinsi Gorontalo_2023-11-29T12:00:00,Propinsi Gorontalo,60,Angin berputar 34 derajat,2.2 km/h,1010 mbar,2023-11-29 12
Propinsi Gorontalo_2023-11-29T12:00:00,Propinsi Gorontalo,60,Angin berputar 34 derajat,2.2 km/h,1010 mbar,2023-11-29 12
Jambi_2023-11-29T12:00:00,Jambi,115*,Angin berputar 56 derajat,4 km/h,1009 mbar,2023-11-29 12
Muara Sabak_2023-11-29T12:00:00,Muara Sabak,60,Angin berputar 191 derajat,1.4 km/h,1009 mbar,2023-11-29 12
Sungai Penuh_2023-11-29T12:00:00,Sungai Penuh,50*,Angin berputar 236 derajat,3.5 km/h,1011 mbar,2023-11-29 12
Sarolangun_2023-11-29T12:00:00,Sarolangun,50*,Angin berputar 133 derajat,4.2 km/h,1009 mbar,2023-11-29 12
Bandung_2023-11-29T12:00:00,Bandung,94,Angin berputar 7 derajat,6.6 km/h,1010 mbar,2023-11-29 12
Banjar_2023-11-29T12:00:00,Banjar,60*,Angin berputar 109 derajat,1.9 km/h,1011 mbar,2023-11-29 12
Ciamis_2023-11-29T12:00:00,Ciamis,56*,Angin berputar 148 derajat,6.8 km/h,1010 mbar,2023-11-29 12
Cianjur_2023-11-29T12:00:00,Cianjur,73*,Angin berputar 357 derajat,5.9 km/h,1010 mbar,2023-11-29 12
Bogor_2023-11-29T12:00:00,Bogor,57,Angin berputar 260 derajat,7.3 km/h,1010 mbar,2023-11-29 12
Bekasi_2023-11-29T12:00:00,Bekasi,119,Angin berputar 232 derajat,18.5 km/h,1008 mbar,2023-11-29 12
Cimahi_2023-11-29T12:00:00,Cimahi,70*,Angin berputar 352 derajat,7.2 km/h,1010 mbar,2023-11-29 12
Cirebon_2023-11-29T12:00:00,Cirebon,96,Angin berputar 228 derajat,12.7 km/h,1009 mbar,2023-11-29 12
Garut_2023-11-29T12:00:00,Garut,54*,Angin berputar 87 derajat,6 km/h,1011 mbar,2023-11-29 12
Indramayu_2023-11-29T12:00:00,Indramayu,65*,Angin berputar 53 derajat,12.9 km/h,1009 mbar,2023-11-29 12
Karawang_2023-11-29T12:00:00,Karawang,89,Angin berputar 319 derajat,5.8 km/h,1010 mbar,2023-11-29 12
Kuningan_2023-11-29T12:00:00,Kuningan,59*,Angin berputar 205 derajat,6.1 km/h,1010 mbar,2023-11-29 12
Majalengka_2023-11-29T12:00:00,Majalengka,61*,Angin berputar 100 derajat,4.8 km/h,1009 mbar,2023-11-29 12
Purwakarta_2023-11-29T12:00:00,Purwakarta,70,Angin berputar 359 derajat,6.3 km/h,1009 mbar,2023-11-29 12
